"Atomic environment number (Villars, Daams)",Charge nuclear effective (Clementi),Compression modulus,Density,Energy cohesive (Brewer),Enthalpy of melting,Entropy of solid,Magnetic frequency of nuclei,Melting temperature,Mendeleev chemists sequence,Moment nuclear magnetic,Nuclear charge effective (Slater),Oxidation state first,Radii covalent(pm),Radii metal (Waber) (A),Spectral lines no,Spin nuclei,Thermal neutron capture cross section,Valence electron number,"Volume of atom (Villars, Daams)",Luminosity (photons/MeV)
4.533333333,7.5485,0.06725,2646.75,1.427,9.929166667,115.559169,20.54788333,547.4,71.08333333,1.008266667,6.016666667,0,134.1833333,1.435083333,118.15,2.15,81.33616667,5.35,3.732,4.5
5.4,5.3948,0.255174,4185.38,3.22096,6.987,140.6403734,10.112068,754.12,75.03,-1.27385,3.93,0.002,103.182,1.244282,177.94,2.9,20.88802,4.802,2.41409,1.25
4.666666667,9.206666667,0.070666667,3803.333333,5.12,13.21333333,91.35688667,15.58066667,628.3333333,70,1.424333333,6.016666667,0,146.6666667,1.584666667,171.6666667,2.833333333,4.276666667,5.333333333,4.386333333,10.75
105,5.341666667,0.571333333,4808.333333,3.523333333,7.562666667,149.350135,10.85283333,835.6666667,80.83333333,-1.462,4.233333333,-0.333333333,94.66666667,1.157,238.8333333,2.333333333,3.1402,5.333333333,2.193833333,1.975
4.666666667,6.13,0.163,3893.333333,0.946666667,2.473333333,152.4972133,70.112,234,75.66666667,1.554,4.916666667,0,85.66666667,1.022666667,88.66666667,0.5,816.6730667,8.666666667,1237.381333,0.1375
105,5.973333333,0.623833333,5991.333333,3.41,7.196,151.0388117,13.4285,749.5,82,-1.3415,4.483333333,-0.333333333,89.16666667,1.089333333,230,1.833333333,411.4018667,7,1.779,3.375
3.75,9.4725,0.0785,4387.1,1.995,10.1525,131.2457125,22.97,467.25,81.75,1.61425,6.4125,0,126.75,1.30625,103,2,5.25,6,3.32725,8.5
3.75,9.4421,0.07808675,4355.3225,1.98322,10.151075,131.1126665,22.9503635,467.44,81.67875,1.60724375,6.4125,-0.00475,126.79275,1.30748025,103.1425,2,5.2491925,5.99525,3.33273625,7.25
3.75,7.29,0.07475,3582.5,2.13,7.02875,184.753015,10.064,396.75,83.25,0.65575,5.2875,0,115.5,1.112,160,2,26.775,6,2165.3695,5.75
2.05,125.905,0.09565,2267,2.8935,1.3833,157.3924665,20.15325,171.3,96.7,-1.03435,4.5275,-0.5,81.95,1.02875,158.3,2.05,0.07696,5.6,1.86385,0.5
6.547906317,6.408459901,0.032623847,2229.124202,1.303548616,5.399361249,160.3122361,11.03243222,332.1163946,60.72391767,1.336322924,4.510752307,0.012775018,152.2015614,1.622105749,161.4599006,2.074875798,61.21980128,4.562100781,1642.819894,3.75
